Player,RunDifference
SR Tendulkar (IND),
RT Ponting (AUS),2543.0
JH Kallis (ICC/SA),89.0
R Dravid (ICC/IND),1.0
AN Cook (ENG),816.0
KC Sangakkara (SL),72.0
BC Lara (ICC/WI),447.0
S Chanderpaul (WI),86.0
DPMD Jayawardene (SL),53.0
AR Border (AUS),640.0
SR Waugh (AUS),247.0
JE Root (ENG),298.0
SM Gavaskar (IND),507.0
Younis Khan (PAK),23.0
HM Amla (SA),817.0
GC Smith (ICC/SA),17.0
GA Gooch (ENG),365.0
Javed Miandad (PAK),68.0
Inzamam-ul-Haq (ICC/PAK),2.0
VVS Laxman (IND),49.0
AB de Villiers (SA),16.0
MJ Clarke (AUS),122.0
ML Hayden (AUS),18.0
V Sehwag (ICC/IND),39.0
IVA Richards (WI),46.0
AJ Stewart (ENG),77.0
SPD Smith (AUS),47.0
DI Gower (ENG),185.0
KP Pietersen (ENG),50.0
G Boycott (ENG),67.0
V Kohli (IND),40.0
GS Sobers (WI),42.0
ME Waugh (AUS),3.0
DA Warner (AUS),110.0
MA Atherton (ENG),191.0
IR Bell (ENG),1.0
JL Langer (AUS),31.0
LRPL Taylor (NZ),13.0
MC Cowdrey (ENG),59.0
CG Greenidge (WI),66.0
Mohammad Yousuf (PAK),28.0
MA Taylor (AUS),5.0
CH Lloyd (WI),10.0
DL Haynes (WI),28.0
DC Boon (AUS),65.0
KS Williamson (NZ),54.0
G Kirsten (SA),79.0
WR Hammond (ENG),40.0
CH Gayle (WI),35.0
SC Ganguly (IND),2.0
